,CrashSeverity,NumberOfUnits,UnitInError,CrashDateTime,Latitude,Longitude,LocationRouteType,LocationRouteNumber,LocationPrefix,LocationRoadName,LocationRoadType,MannerOfCollision,Weather,LightCondition,Narrative,CrashReportedDateTime,DispatchedDateTime,ArrivedDateTime,RoadCondition,TotalInjured,TotalKilled,AnimalRelated,AlcoholRelated,SpeedRelated,TeenRelated
0,Minor Injury Suspected,3,3,6/21/2020 12:43,40.0428,-82.465815,,,West,MAIN ,Street,Angle,Clear,Daylight,Unit#1 was traveling west on W. Main Street. Unit#2 was southbound; stopped at the traffic control light on Cherry Valley Rd at W.Main St. Unit#3 was traveling east on W. Main St. and was attempting to turn left onto Cherry Valley Rd.; when she struck Unit#1. Unit#3 came to a stop after striking Unit#2. Unit#3 was cited for failure to yield. ,6/21/2020 12:43,6/21/2020 12:44,6/21/2020 12:50,Dry,0,0,False,False,False,False
1,Property Damage Only,2,2,6/21/2020 21:10,40.096796999999995,-82.426099,,,North,21st,Street,Sideswipe; same direction,Clear,Dark - Lighted Roadway,Unit 1 was traveling northbound on N. 21st Street in the left-hand  travelled lane. Unit 2 was in the center turn lane; attempting to enter the northbound traveled lanes. Unit 2 admitted having not done a good job of checking traffic in those lanes; before attempting to merge and enter the left-hand lane. In Unit 2's attempt; she failed to yield ; striking Unit1 in the drivers side door. Contact was maintained; causing damage to the front and rear doors areas; before separation occured. Afterwards; both units pulled nto the private business lot at 1801 N.  21st Street until police arrived.,6/21/2020 21:15,6/21/2020 21:53,6/21/2020 22:05,Dry,0,0,False,False,False,False
2,Property Damage Only,2,2,6/23/2020 11:56,40.059969,-82.408633,,,,GRANVILLE,Street,Angle,Rain,Daylight,Unit 1 was travelling westbound on Granville St near N. 6th St. Unit 2 was parked in parking space on roadway facing west on Granville St. Unit 2 pulled out of parking space striking Unit 1. Minor property damage to both Unit 1 and Unit 2. No injuries were reported at the time of the accident. Unit 2 driver was issued a verbal warning and reminded to yield prior to pulling out of a parking space and onto the roadway.,6/23/2020 11:56,6/23/2020 12:00,6/23/2020 12:04,Wet,0,0,False,False,False,False
3,Property Damage Only,3,3,6/23/2020 16:42,40.066939,-82.40861899999999,State Route,13,,,,Rear-end,Clear,Daylight,Units 1; 2; 3 were traveling northbound on SR13 in the area of Wallace St. Units 1 and 2 were stopped in traffic. Unit 3 failed to stop in time and stuck the back of Unit 2 which caused Unit 2 to strike the back of Unit 1. The driver of Unit 3 was issued a citation for ACDA. ,6/23/2020 16:42,6/23/2020 16:45,6/23/2020 16:48,Dry,0,0,False,False,False,False
4,Property Damage Only,2,1,6/23/2020 14:39,40.07486,-82.42828,,,North,21st,Street,Angle,Clear,Daylight,A silver SUV was in the curb lane and had motioned Unit #1 out of the driveway of River Road Coffee;  973 N 21st St onto N 21st St to cross all lanes of traffic to enter Hot Head Burritos; 964 N 21st St.  Upon entering the roadway Unit #1  struck Unit #2  in the passenger side of the vehicle;  Unit #2  was traveling s/b IFO 973 N 21st St. Unit #1 is at fault,6/23/2020 14:39,6/23/2020 14:39,6/23/2020 14:43,Dry,0,0,False,False,False,True
5,Minor Injury Suspected,2,1,6/24/2020 15:15,40.040939,-82.442382,,,South,30th,Street,Angle,Clear,Daylight,Unit 1 was stopped facing west on Harris Ave. Unit 2 was northbound on S 30th St. Unit 1 proceeded to turn left to head southbound on S 30th St. As Unit 1 was turning south; Unit 2 struck them. The driver of Unit 1 was transported the LMH by Heath Fire; as well as a passenger from Unit 2. ,6/24/2020 15:15,6/24/2020 15:16,6/24/2020 15:26,Dry,0,0,False,False,False,True
6,Property Damage Only,2,99,6/25/2020 9:37,40.058461,-82.399801,,,East,Main,Street,Rear-to-rear,Clear,Daylight,Unit 1 was parked in front of 65 E Main St facing south. Unit 2 was parked between the eastbound and westbound lanes of travel also in front of 65 E Main St facing north. Both Units 1 and 2 were backing out of their parking spaces when they collided with each other. It was unknown by either motorist or law enforcement  who was at fault. ,6/25/2020 9:37,6/25/2020 9:39,6/25/2020 9:47,Dry,0,0,False,False,False,False
7,Property Damage Only,2,99,6/25/2020 7:17,40.0596,-82.405386,,,,Mt Vernon,Road,Angle,Clear,Daylight,Unit One was traveling E/B on W. Locust Street at Mt Vernon Road.  Unit One stated that she had stopped for red light.  Unit Two was traveling S/B on Mt Vernon Road approaching W. Locust Street.  Unit One stated that her light had turned green and she moved forward and was struck by Unit Two.  Unit Two stated that she had the green light.  There was no known witnesses to this accident and no camera footage.  Unit One appears to have had the green light; but unable to prove beyond a doubt.,6/25/2020 7:17,6/25/2020 7:17,6/25/2020 7:17,Dry,0,0,False,False,False,False
8,Property Damage Only,2,1,6/25/2020 10:53,40.06381,-82.429388,,,North,21ST,Street,Rear-end,Clear,Daylight,06/25/2020; 1053 hours; Unit#02 was traveling north on N. 21st Street and stopped in traffic north of the State Rt 16 W. access ramp to N. 21st Street.  Unit#01 was traveling behind Unit#02; in the same lane; and failed to maintain an assured clear distance ahead and struck Unit#02 in the rear.,6/25/2020 10:53,6/25/2020 10:54,6/25/2020 11:02,Dry,0,0,False,False,False,False
9,Property Damage Only,2,1,6/25/2020 21:06,40.044375,-82.431384,,,South,21st,Street,Sideswipe; opposite direction,Clear,Dawn/Dusk,On the above date and time; Unit #1 was travelling NB on S. 21st ST approaching the intersection of Wells Ave; Unit #1 was turning left onto Wells Ave. Unit #2 was travelling SB on N. 21st ST when Unit #1 turned in front of him hitting the driver side fender of his vehicle. Unit #1 stated he thought there was an orange light allowing him to go through. Unit #2 stated the light was green. There was no witnesses on the scene to clarify who had the right away.,6/25/2020 21:26,6/25/2020 21:28,6/25/2020 21:30,Dry,0,0,False,False,False,True
